Comment,Designator,Footprint, LCSC
18p,"C14,C13",Capacitor_SMD:C_0805_2012Metric,C1797
1p,"C15,C16",Capacitor_SMD:C_0805_2012Metric,C14971
2.0p,C18,Capacitor_SMD:C_0805_2012Metric,C1800
100u,C2,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B,C16133
1u,"C4,C20,C19,C3,C7,C11,C5,C1,C12",Capacitor_SMD:C_0805_2012Metric,C28323
15p,"C6,C8",Capacitor_SMD:C_0805_2012Metric,C1794
27p,"C9,C10",Capacitor_SMD:C_0805_2012Metric,C8031
B5819W,D1,Diode_SMD:D_SOD-123,C8598
56k,R2,Resistor_SMD:R_0805_2012Metric,C17756
1k,"R4,R3",Resistor_SMD:R_0805_2012Metric,C17513
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
CC2530Fxxx,U3,Package_DFN_QFN:QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,C9120
RFX2401C,U4,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,C19213
32.768kHz,Y1,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
32MHz,Y2,Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C91742
